Ano;Tempo;Degrau;Rampa;Total óbitosBRA;casos_dengueBRA;TLetdengueBRA;TidengueBRA;Total óbitosSUL;casos_dengueSUL;TLetdengueSUL;TidengueSUL;Total óbitosSUDESTE;casos_dengueSUDESTE;TLetdengueSUDESTE;TidengueSUDESTE;Total óbitosNE;casos_dengueNE;TLetdengueNE;TidengueNE;Total óbitosCO;casos_dengueCO;TLetdengueCO;TidengueCO;Total óbitosN;casos_dengueN;TLetdengueN;TidengueN
2001;1;0;0;42;389324;0.01;225.84;2;1699;0.12;6.67;15;161416;0.009;219.70;19;150242;0.01;310.86;4;24373;0.02;205.07;3;51589;0.01;389.50
2002;2;0;0;166;700583;0.02;401.17;1;7960;0.01;30.93;105;357882;0.029;480.72;48;267768;0.02;548.20;11;46594;0.02;385.03;2;20262;0.01;150.04
2003;3;0;0;69;277421;0.02;156.84;4;11149;0.04;42.84;13;65865;0.020;87.36;40;150613;0.03;305.15;7;21032;0.03;170.75;6;28627;0.02;207.67
2004;4;0;0;26;72552;0.04;40.51;1;198;0.51;0.75;4;21560;0.019;28.24;15;22449;0.07;45.02;3;8813;0.03;70.32;4;19506;0.02;138.69
2005;5;0;0;48;151413;0.03;82.21;2;1148;0.17;4.26;5;21820;0.023;27.81;25;75894;0.03;148.76;10;26729;0.04;205.28;7;25767;0.03;175.30
2006;6;0;0;114;263890;0.04;141.29;1;1352;0.07;4.95;23;127565;0.018;160.34;62;69143;0.09;133.97;23;45623;0.05;343.82;6;20198;0.03;134.46
2007;7;0;0;332;501745;0.07;265.00;8;27786;0.03;100.52;101;208077;0.049;258.03;129;126045;0.10;241.49;45;101914;0.04;754.01;50;37824;0.13;246.53
2008;8;0;0;589;558023;0.11;294.30;3;2076;0.14;7.55;294;285479;0.103;356.01;198;179787;0.11;338.66;36;43986;0.08;321.16;59;46695;0.13;308.37
2009;9;0;0;375;416264;0.09;217.39;2;1772;0.11;6.39;107;115724;0.092;143.02;125;127030;0.10;237.03;97;114387;0.08;823.20;45;57351;0.08;373.39
2010;10;1;1;774;981276;0.08;514.41;18;41679;0.04;152.19;310;459770;0.067;572.11;148;170036;0.09;320.33;199;211585;0.09;1505.08;100;98205;0.10;619.03
2011;11;1;2;604;686005;0.09;356.59;17;29164;0.06;105.81;274;333820;0.082;412.25;186;174651;0.11;326.44;51;35804;0.14;251.36;77;112559;0.07;699.33
2012;12;1;3;390;580519;0.07;299.27;3;4885;0.06;17.62;104;248461;0.042;304.61;169;217072;0.08;402.68;75;68250;0.11;473.17;40;41809;0.10;255.75
2013;13;1;4;642;1428989;0.04;710.82;25;66451;0.04;230.77;272;904858;0.030;1071.27;149;147036;0.10;263.53;163;261951;0.06;1747.13;34;48596;0.07;286.14
2014;14;1;5;458;591549;0.08;291.74;17;23004;0.07;79.28;155;313134;0.049;367.89;138;90497;0.15;161.07;122;116408;0.10;764.86;27;48476;0.06;281.33
2015;15;1;6;930;1709159;0.05;835.98;26;52110;0.05;178.27;542;1057331;0.051;1233.10;172;332364;0.05;587.63;157;235017;0.07;1521.91;34;32253;0.11;184.59
2016;16;1;7;853;1497956;0.06;726.88;66;70489;0.09;239.43;436;854396;0.051;989.38;203;320192;0.06;562.57;135;214454;0.06;1369.35;14;38273;0.04;216.14
2017;17;1;8;210;241884;0.09;116.48;1;2559;0.04;8.63;55;53333;0.103;61.34;64;84263;0.08;147.17;80;79861;0.10;503.03;11;21860;0.05;121.88
2018;18;1;9;239;269301;0.09;128.74;2;1757;0.11;5.89;66;75613;0.087;86.39;52;66320;0.08;115.19;113;107608;0.11;668.92;7;17981;0.04;99.02
2019;19;1;10;902;1553579;0.06;737.49;31;50232;0.06;167.24;506;1017551;0.050;1155.36;133;213681;0.06;369.16;215;235789;0.09;1447.11;18;36260;0.05;197.35
2020;20;1;11;685;946985;0.07;446.53;198;278472;0.07;921.43;200;298250;0.067;336.62;88;149701;0.06;257.33;179;196823;0.09;1193.13;21;23681;0.09;127.43
2021;21;1;12;404;544812;0.07;255.25;50;66590;0.08;219.05;119;196059;0.061;220.03;91;134508;0.07;230.11;109;112546;0.10;674.14;36;44091;0.08;234.70
2022;22;1;13;1016;1450270;0.07;679.90;267;319366;0.08;1050.50;368;480990;0.077;536.60;127;248850;0.05;431.50;210;348660;0.06;2086.90;45;52404;0.09;277.20
